itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
226228,gender,gender,chartevents,adt,,text,,
226545,race,race,chartevents,adt,,text,,
229877,suction events (ch),suction events (ch),chartevents,ecmo,,text,,
229875,oxygenator visible (ch),oxygenator visible (ch),chartevents,ecmo,,text,,
229266,cannula sites visually inspected (ecmo),cannula sites visually inspected (ecmo),chartevents,ecmo,,text,,
229846,sweep (ch),sweep (ch),chartevents,ecmo,,text,,
229267,emergency equipment at bedside (ecmo),emergency equipment at bedside (ecmo),chartevents,ecmo,,text,,
229269,circuit inspected for clot (ecmo),circuit inspected for clot (ecmo),chartevents,ecmo,,text,,
229876,pump plugged into red outlet (ch),pump plugged into red outlet (ch),chartevents,ecmo,,text,,
229274,oxygenator visible (ecmo),oxygenator visible (ecmo),chartevents,ecmo,,text,,
229278,sweep (ecmo),sweep (ecmo),chartevents,ecmo,,text,,
229874,flow sensor repositioned (ch),flow sensor repositioned (ch),chartevents,ecmo,,text,,
229273,flow sensor repositioned (ecmo),flow sensor repositioned (ecmo),chartevents,ecmo,,text,,
229268,circuit configuration (ecmo),circuit configuration (ecmo),chartevents,ecmo,,text,,
229873,emergency equipment at bedside (ch),emergency equipment at bedside (ch),chartevents,ecmo,,text,,
229275,pump plugged into red outlet (ecmo),pump plugged into red outlet (ecmo),chartevents,ecmo,,text,,
229879,cannula sites visually inspected (ch),cannula sites visually inspected (ch),chartevents,ecmo,,text,,
229840,circuit configuration (ch),circuit configuration (ch),chartevents,ecmo,,text,,
229878,circuit inspected for clot (ch),circuit inspected for clot (ch),chartevents,ecmo,,text,,
229276,suction events (ecmo),suction events (ecmo),chartevents,ecmo,,text,,
220120,intra aortic ballon pump setting,intra aortic ballon pump setting,chartevents,iabp,,text,,
227980,intra aortic balloon pump setting,iabp setting,chartevents,iabp,,text,,
230035,accessory muscle use.,accessory muscle use.,chartevents,rdos,,text,,
230038,look of fear,look of fear,chartevents,rdos,,text,,
230040,paradoxical breathing,paradoxical breathing,chartevents,rdos,,text,,
230037,hr per min,hr per min,chartevents,rdos,,text,,
230036,grunting,grunting at end-expiration,chartevents,rdos,,text,,
230042,rr per min,rr per min,chartevents,rdos,,text,,
230039,nasal flaring.,nasal flaring.,chartevents,rdos,,text,,
230041,restlessness.,restlessness.,chartevents,rdos,,text,,
227585,gi guaiac,gi guaiac,chartevents,gi/gu,,text,,
224444,gi #3 tube place check,gi #3 tube place check,chartevents,gi/gu,,text,,
227590,gi #3 tube place method,gi #3 tube place method,chartevents,gi/gu,,text,,
224019,bladder irrigation,bladder irrigation,chartevents,gi/gu,,text,,
224792,gi #3 tube status,gi #3 tube status,chartevents,gi/gu,,text,,
224814,gi #1 tube place method,gi #1 tube place method,chartevents,gi/gu,,text,,
223999,oral cavity,oral cavity,chartevents,gi/gu,,text,,
224000,nares r,nares r,chartevents,gi/gu,,text,,
224796,ostomy,ostomy,chartevents,gi/gu,,text,,
224816,gi #2 tube place method,gi #2 tube place method,chartevents,gi/gu,,text,,
224442,gi #3 intub site,gi #3 intub site,chartevents,gi/gu,,text,,
228308,gi #1 tube place method,gi #1 tube place method,chartevents,gi/gu,,text,,
227589,gi #2 tube place method,gi #2 tube place method,chartevents,gi/gu,,text,,
229354,foley cath insertion location,indwelling urinary cath insertion location,chartevents,gi/gu,,text,,
224876,urine appearance,urine appearance,chartevents,gi/gu,,text,,
228307,gi #1 tube place check,gi #1 tube place check,chartevents,gi/gu,,text,,
224005,flatus,flatus,chartevents,gi/gu,,text,,
224446,gi #3 tube drainage,gi #3 tube drainage,chartevents,gi/gu,,text,,
227588,gi #1 tube place method,gi #1 tube place method,chartevents,gi/gu,,text,,
224003,abdominal assessment,abdominal assessment,chartevents,gi/gu,,text,,
224441,gi #2 intub site,gi #2 intub site,chartevents,gi/gu,,text,,
224016,urine color,urine color,chartevents,gi/gu,,text,,
224879,nares l,nares l,chartevents,gi/gu,,text,,
227968,all medications tolerated without adverse side effects,all medications tolerated,chartevents,gi/gu,,text,,
224006,emesis appearance,emesis appearance,chartevents,gi/gu,,text,,
230033,stool management,stool management,chartevents,gi/gu,,text,,
224004,bowel sounds,bowel sounds,chartevents,gi/gu,,text,,
224788,gi #2 tube type,gi #2 tube type,chartevents,gi/gu,,text,,
224012,stool management,stool management,chartevents,gi/gu,,text,,
224013,stool guaiac,stool guaiac,chartevents,gi/gu,,text,,
224789,gi #2 tube status,gi #2 tube status,chartevents,gi/gu,,text,,
228312,gi #3 tube place method,gi #3 tube place method,chartevents,gi/gu,,text,,
224001,diet type,diet type,chartevents,gi/gu,,text,,
224443,gi #2 tube place check,gi #2 tube place check,chartevents,gi/gu,,text,,
224818,gi #3 tube place method,gi #3 tube place method,chartevents,gi/gu,,text,,
228714,bladder scanned,bladder scanned,chartevents,gi/gu,,text,,
224797,ostomy appearance,ostomy appearance,chartevents,gi/gu,,text,,
224010,gi #1 tube place check,gi #1 tube place check,chartevents,gi/gu,,text,,
224009,gi #1 tube drainage,gi #1 tube drainage,chartevents,gi/gu,,text,,
224785,gi #1 tube type,gi #1 tube type,chartevents,gi/gu,,text,,
228309,gi #2 tube place check,gi #2 tube place check,chartevents,gi/gu,,text,,
224011,stool consistency,stool consistency,chartevents,gi/gu,,text,,
224015,urine source,urine source,chartevents,gi/gu,,text,,
224445,gi #2 tube drainage,gi #2 tube drainage,chartevents,gi/gu,,text,,
224017,gu catheter size,gu catheter size,chartevents,gi/gu,,text,,
224007,gi #1 intub site,gi #1 intub site,chartevents,gi/gu,,text,,
224791,gi #3 tube type,gi #3 tube type,chartevents,gi/gu,,text,,
228311,gi #3 tube place check,gi #3 tube place check,chartevents,gi/gu,,text,,
228310,gi #2 tube place method,gi #2 tube place method,chartevents,gi/gu,,text,,
224786,gi #1 tube status,gi #1 tube status,chartevents,gi/gu,,text,,
224794,stool color,stool color,chartevents,gi/gu,,text,,
228372,leg raise result (nicom),leg raise result (nicom),chartevents,nicom,,text,,
228373,passive leg raise performed,passive leg raise performed,chartevents,nicom,,text,,
229497,final position confirmed (sbnet),final position confirmed (sbnet),chartevents,sbnet,,text,,
229482,hand cleansing prior to procedure  (sbnet),hand cleansing prior to procedure  (sbnet),chartevents,sbnet,,text,,
229483,barrier precautions in place  (sbnet),barrier precautions in place  (sbnet),chartevents,sbnet,,text,,
229479,timeout performed by  (sbnet),timeout performed by  (sbnet),chartevents,sbnet,,text,,
229481,verification of  (sbnet),verification of  (sbnet),chartevents,sbnet,,text,,
229499,order to use in poe (sbnet),order to use in poe (sbnet),chartevents,sbnet,,text,,
229480,patient identified correctly  (sbnet),patient identified correctly  (sbnet),chartevents,sbnet,,text,,
229486,topical lidocaine used (sbnet),topical lidocaine used (sbnet),chartevents,sbnet,,text,,
229477,indications (sbnet),indications  (sbnet),chartevents,sbnet,,text,,
229489,complications (sbnet),complications (sbnet),chartevents,sbnet,,text,,
229484,route  (sbnet),route  (sbnet),chartevents,sbnet,,text,,
229498,guidewire removed (sbnet),guidewire removed (sbnet),chartevents,sbnet,,text,,
229487,2 stage cxr insertion technique (sbnet),2 stage cxr insertion technique (sbnet),chartevents,sbnet,,text,,
227539,art blood pressure alarm source,art bp alarm source,chartevents,alarms,,text,,
227241,pap alarm source,pap alarm source,chartevents,alarms,,text,,
229629,pap alarm source (veletri),pap alarm source (veletri),chartevents,alarms,,text,,
227239,abp alarm source,abp alarm source,chartevents,alarms,,text,,
227240,nbp alarm source,nbp alarm source,chartevents,alarms,,text,,
227648,clots,clots,chartevents,ob-gyn,,text,,
227650,fundus location (breadth),fundus location (breadth),chartevents,ob-gyn,,text,,
227642,breast feeding,breast feeding,chartevents,ob-gyn,,text,,
227654,reflexes le,reflexes le,chartevents,ob-gyn,,text,,
227653,pad change/hour,pad change/hour,chartevents,ob-gyn,,text,,
227652,lochia estimate,lochia estimate,chartevents,ob-gyn,,text,,
227655,reflexes ue,reflexes ue,chartevents,ob-gyn,,text,,
227644,breast feeding - r,breast feeding - r,chartevents,ob-gyn,,text,,
227651,lochia character,lochia character,chartevents,ob-gyn,,text,,
227649,fundus character,fundus character,chartevents,ob-gyn,,text,,
227643,breast feeding - l,breast feeding - l,chartevents,ob-gyn,,text,,
226586,stool estimate,stool estimate,outputevents,output,,text,,
226713,incontinent/voids (estimate),incontinent/voids (estimate),outputevents,output,,text,,
227487,gu irrigant type,gu irrigant type,outputevents,output,,text,,
223759,precautions: standard +,precautions: standard +,chartevents,general,,text,,
227089,discharge to,discharge to,chartevents,general,,text,,
223760,health care proxy,health care proxy,chartevents,general,,text,,
227088,admit from,admit from,chartevents,general,,text,,
224640,service,service,chartevents,general,,text,,
227485,print job,print job,chartevents,general,,text,,
227486,printer,printer,chartevents,general,,text,,
223758,code status,code status,chartevents,general,,text,,
220001,problem list,problem list,chartevents,general,,text,,
228153,dual signal screen,dual signal screen,chartevents,impella,,text,,
228156,performance level,performance level,chartevents,impella,,text,,
229670,dual signal screen (r),dual signal screen (r),chartevents,impella,,text,,
229676,placement monitoring screen (r),placement monitoring screen (r),chartevents,impella,,text,,
228157,placement monitoring screen,placement monitoring screen,chartevents,impella,,text,,
229675,performance level (r),performance level (r),chartevents,impella,,text,,
229679,type of catheter (impella),type of catheter (impella),chartevents,impella,,text,,
225976,replacement fluid,replacement fluid,chartevents,dialysis,,text,,
225958,heparin concentration (units/ml),heparin concentration  (units/ml),chartevents,dialysis,,text,,
227290,crrt mode,crrt mode,chartevents,dialysis,,text,,
224139,dialysis site appearance,dialysis site appearance,chartevents,dialysis,,text,,
225977,dialysate fluid,dialysate fluid,chartevents,dialysis,,text,,
230083,replacement fluid (pre-filter),replacement fluid (pre-filter),chartevents,dialysis,,text,,
225956,reason for crrt filter change,reason for filter change,chartevents,dialysis,,text,,
227638,medication added #2 (peritoneal dialysis),medication added #2 (pd),chartevents,dialysis,,text,,
225953,solution (peritoneal dialysis),solution (pd),chartevents,dialysis,,text,,
225954,dialysis access type,dialysis access type,chartevents,dialysis,,text,,
225952,medication added #1 (peritoneal dialysis),medication added #1 (pd),chartevents,dialysis,,text,,
225961,medication added units #1 (peritoneal dialysis),medication added units #1 (pd),chartevents,dialysis,,text,,
225965,peritoneal dialysis catheter status,pd catheter status,chartevents,dialysis,,text,,
227640,medication added units #2 (peritoneal dialysis),medication added units #2 (pd),chartevents,dialysis,,text,,
230084,replacement fluid (post-filter),replacement fluid (post-filter),chartevents,dialysis,,text,,
224146,system integrity,system integrity,chartevents,dialysis,,text,,
225951,peritoneal dialysis fluid appearance,pd fluid appearance,chartevents,dialysis,,text,,
225963,peritoneal dialysis catheter type,pd catheter type,chartevents,dialysis,,text,,
230085,dialysate fluid,dialysate fluid,chartevents,dialysis,,text,,
224135,dialysis access site,dialysis access site,chartevents,dialysis,,text,,
227835,ue dressing,ue dressing,chartevents,ot notes,,text,,
227839,home management,home management,chartevents,ot notes,,text,,
227831,grooming,grooming,chartevents,ot notes,,text,,
227846,supine / side-lying to sit,supine / side-lying to sit,chartevents,ot notes,,text,,
227929,position - recovery - aerobic activity response,position - recovery - aerobic activity response,chartevents,ot notes,,text,,
227847,sit to stand,sit to stand,chartevents,ot notes,,text,,
227837,toileting,toileting,chartevents,ot notes,,text,,
227832,ue bathing,ue bathing,chartevents,ot notes,,text,,
227840,money management,money management,chartevents,ot notes,,text,,
227943,anticipated discharge,anticipated discharge,chartevents,ot notes,,text,,
227855,assistive device,assistive device,chartevents,ot notes,,text,,
227853,other (activity); specify,other (activity); specify,chartevents,ot notes,,text,,
227834,le bathing,le bathing,chartevents,ot notes,,text,,
227845,rolling,rolling,chartevents,ot notes,,text,,
227922,position - activity - aerobic activity response,position - activity - aerobic activity response,chartevents,ot notes,,text,,
227915,position - rest - aerobic activity response,position - rest - aerobic activity response,chartevents,ot notes,,text,,
227848,transfer,transfer,chartevents,ot notes,,text,,
227841,community integration,community integration,chartevents,ot notes,,text,,
227836,le dressing,le dressing,chartevents,ot notes,,text,,
227830,self feeding,self feeding,chartevents,ot notes,,text,,
227849,toilet,toilet,chartevents,ot notes,,text,,
227850,commode,commode,chartevents,ot notes,,text,,
227881,pain (0-10),pain (0-10),chartevents,ot notes,,text,,
227851,shower / tub,shower / tub,chartevents,ot notes,,text,,
227854,weight bearing status,weight bearing status,chartevents,ot notes,,text,,
229251,cannula sites visually inspected (rvad),cannula sites visually inspected (rvad),chartevents,centrimag,,text,,
229260,flow sensor repositioned (lvad),flow sensor repositioned (lvad),chartevents,centrimag,,text,,
229250,cannula sites visually inspected (lvad),cannula sites visually inspected (lvad),chartevents,centrimag,,text,,
229264,suction events (lvad),suction events (lvad),chartevents,centrimag,,text,,
229252,emergency equipment at bedside (lvad),emergency equipment at bedside (lvad),chartevents,centrimag,,text,,
229261,flow sensor repositioned (rvad),flow sensor repositioned (rvad),chartevents,centrimag,,text,,
229253,emergency equipment at bedside (rvad),emergency equipment at bedside (rvad),chartevents,centrimag,,text,,
229265,suction events (rvad),suction events (rvad),chartevents,centrimag,,text,,
229309,backup controller (heartware),backup controller (heartware),chartevents,heartware,,text,,
229323,current dyspnea assessment,current dyspnea assessment,chartevents,pulmonary,,text,,
223995,ct #1 fluctuate,ct #1 fluctuate,chartevents,pulmonary,,text,,
223991,cough effort,cough effort,chartevents,pulmonary,,text,,
224806,ct #1 suction type,ct #1 suction type,chartevents,pulmonary,,text,,
223988,lul lung sounds,lul lung sounds,chartevents,pulmonary,,text,,
224424,ct #2 drainage,ct #2 drainage,chartevents,pulmonary,,text,,
224434,ct #3 fluctuate,ct #3 fluctuate,chartevents,pulmonary,,text,,
224779,ct #3 leak,ct #3 leak,chartevents,pulmonary,,text,,
223992,cough type,cough type,chartevents,pulmonary,,text,,
224427,ct #2 suction amount,ct #2 suction amount,chartevents,pulmonary,,text,,
223986,rul lung sounds,rul lung sounds,chartevents,pulmonary,,text,,
224439,chest tube site #3,chest tube site #3,chartevents,pulmonary,,text,,
224433,ct #4 dressing,ct #4 dressing,chartevents,pulmonary,,text,,
224440,chest tube site #4,chest tube site #4,chartevents,pulmonary,,text,,
223994,ct #1 suction amount,ct #1 suction amount,chartevents,pulmonary,,text,,
224438,chest tube site # 2,chest tube site # 2,chartevents,pulmonary,,text,,
224423,ct #2 crepitus,ct #2 crepitus,chartevents,pulmonary,,text,,
224808,ct #2 suction type,ct #2 suction type,chartevents,pulmonary,,text,,
223987,rll lung sounds,rll lung sounds,chartevents,pulmonary,,text,,
224775,ct #1 leak,ct #1 leak,chartevents,pulmonary,,text,,
223989,lll lung sounds,lll lung sounds,chartevents,pulmonary,,text,,
224435,ct #4 fluctuate,ct #4 fluctuate,chartevents,pulmonary,,text,,
229322,breathing pattern/effort,breathing pattern/effort,chartevents,pulmonary,,text,,
223985,respiratory pattern,respiratory pattern,chartevents,pulmonary,,text,,
224428,ct #3 crepitus,ct #3 crepitus,chartevents,pulmonary,,text,,
224432,ct #3 dressing,ct #3 dressing,chartevents,pulmonary,,text,,
224781,ct #4 leak,ct #4 leak,chartevents,pulmonary,,text,,
223998,ct #1 crepitus,ct #1 crepitus,chartevents,pulmonary,,text,,
224436,ct #3 suction amount,ct #3 suction amount,chartevents,pulmonary,,text,,
223993,chest tube site # 1,chest tube site # 1,chartevents,pulmonary,,text,,
224425,ct #2 dressing,ct #2 dressing,chartevents,pulmonary,,text,,
224426,ct #2 fluctuate,ct #2 fluctuate,chartevents,pulmonary,,text,,
224810,ct #3 suction type,ct #3 suction type,chartevents,pulmonary,,text,,
224431,ct #4 drainage,ct #4 drainage,chartevents,pulmonary,,text,,
223996,ct #1 drainage,ct #1 drainage,chartevents,pulmonary,,text,,
224437,ct #4 suction amount,ct #4 suction amount,chartevents,pulmonary,,text,,
224777,ct #2 leak,ct #2 leak,chartevents,pulmonary,,text,,
224812,ct #4 suction type,ct #4 suction type,chartevents,pulmonary,,text,,
223990,respiratory effort,respiratory effort,chartevents,pulmonary,,text,,
224429,ct #4 crepitus,ct #4 crepitus,chartevents,pulmonary,,text,,
223997,ct #1 dressing,ct #1 dressing,chartevents,pulmonary,,text,,
224430,ct #3 drainage,ct #3 drainage,chartevents,pulmonary,,text,,
229111,safety restraints ncp - problem resolved,safety restraints ncp - problem resolved,chartevents,care plans,,text,,
229123,elimination ncp - plan revised,elimination ncp - plan revised,chartevents,care plans,,text,,
229369,acuity workload question 1,acuity workload question 1,chartevents,care plans,,text,,
228997,discharge ncp - interventions,discharge ncp - interventions,chartevents,care plans,,text,,
229147,metabolic disturbance ncp - plan revised,metabolic disturbance ncp - plan revised,chartevents,care plans,,text,,
229349,impaired mobility ncp - problem resolved,im ncp - problem resolved,chartevents,care plans,,text,,
229330,activity intolerance  ncp - interventions,ai ncp - interventions,chartevents,care plans,,text,,
228966,nutrition  ncp - interventions,nutrition ncp - interventions,chartevents,care plans,,text,,
229102,infection ncp - plan revised,infection ncp - plan revised,chartevents,care plans,,text,,
229129,altered sensory perception ncp - problem resolved,asp ncp - problem resolved,chartevents,care plans,,text,,
228912,altered skin integrity ncp - goal,asi ncp - goal,chartevents,care plans,,text,,
228968,nutrition  ncp - outcomes met,nutrition ncp - outcomes met,chartevents,care plans,,text,,
229126,altered sensory perception ncp - interventions,asp ncp - interventions,chartevents,care plans,,text,,
228977,altered mental status  ncp - interventions,ams ncp - interventions,chartevents,care plans,,text,,
229089,altered mental status  ncp - problem resolved,ams ncp - problem resolved,chartevents,care plans,,text,,
229091,altered respiratory status ncp - problem resolved,ars ncp - problem resolved,chartevents,care plans,,text,,
229339,domestic violence ncp - interventions,dv ncp - interventions,chartevents,care plans,,text,,
229641,stroke ncp - consults,stroke ncp - consults,chartevents,care plans,,text,,
229649,stroke ncp - type,stroke ncp - type,chartevents,care plans,,text,,
229977,covid ncp - interventions,covid ncp - interventions,chartevents,care plans,,text,,
229088,altered mental status  ncp - plan revised,ams ncp - plan revised,chartevents,care plans,,text,,
229110,safety restraints ncp - plan revised,safety restraints ncp - plan revised,chartevents,care plans,,text,,
229145,metabolic disturbance ncp - interventions,metabolic disturbance ncp - interventions,chartevents,care plans,,text,,
229335,activity intolerance ncp - goal,ai ncp - goal,chartevents,care plans,,text,,
229104,nutrition  ncp - plan revised,nutrition ncp - plan revised,chartevents,care plans,,text,,
229652,stroke ncp - interventions,stroke ncp - interventions,chartevents,care plans,,text,,
229974,covid ncp - problem,covid ncp - problem,chartevents,care plans,,text,,
228986,safety restraints ncp - goal,safety restraints ncp - goal,chartevents,care plans,,text,,
229108,post-op care ncp - plan revised,post-op care ncp - plan revised,chartevents,care plans,,text,,
229120,sensory disturbance ncp - expected outcomes,sensory disturbance ncp - expected outcomes,chartevents,care plans,,text,,
229136,substance withdrawal ncp - expected outcomes,substance withdrawal ncp - expected outcomes,chartevents,care plans,,text,,
229344,impaired mobility ncp - expected outcomes,im ncp - expected outcomes,chartevents,care plans,,text,,
228935,post-op care ncp - goal,post-op care ncp - goal,chartevents,care plans,,text,,
228973,altered mental status  ncp - expected outcomes,ams ncp - expected outcomes,chartevents,care plans,,text,,
229124,altered sensory perception ncp - expected outcomes,asp ncp - expected outcomes,chartevents,care plans,,text,,
229342,domestic violence ncp - problem resolved,dv ncp - problem resolved,chartevents,care plans,,text,,
229648,stroke ncp - problem resolved,stroke ncp - problem resolved,chartevents,care plans,,text,,
